title,authors,genre,thumbnail,description,average_rating,main_genre
Candide and Other Stories,Voltaire,fiction,http://books.google.com/books/content?id=zxJGB-_Y3Y4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,candide is the most famous of voltaires philosophical tales in which he combined witty improbabilities with the sanest of good sense this edition includes four other prose tales micromegas zadig the ingecircnu and the white bull and a verse tale based on chaucers the wife of baths tale what pleases the ladies if this is the best of all possible worlds then what must the others be like young candide is tossed on a hilarious tide of misfortune experiencing the full horror and injustice of this best of all possible worlds the old and the new before finally accepting that his old philosophy tutor dr pangloss has got it all wrong there are no grounds for his daft theory of optimism yet life goes on we must cultivate our garden for there is certainly room for improvement candide is the most famous of voltaires philosophical tales in which he combined witty improbabilities with the sanest of good sense first published in 1759 it was an instant bestseller and has come to be regarded as one of the key texts of the enlightenment what candide does for chivalric romance the other tales in this selection micromegas zadig the ingenu and the white bull do for science fiction the oriental tale the sentimental novel and the old testament this new edition also includes a verse tale based on chaucers the wife of baths tale in which we discover that most elusive of secrets what pleases the ladies ,3.94,Fiction
The Picture of Dorian Gray,Oscar Wilde,fiction,http://books.google.com/books/content?id=Us0gTQUSAvsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,when dorian gray has his portrait painted he is captivated by his own beauty set in findesiecle london this novel traces a path from the studio of painter basil hallward to the opium dens of the east end combining elements of the supernatural aestheticism and the gothic this is a work of fiction,4.07,Fiction
Confessions,Jean-Jacques Rousseau,literary criticism,http://books.google.com/books/content?id=ZinPjKdL9mEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,when it was first published in 1781 the confessions scandalised europe with its emotional honesty and frank treatment of the authors sexual and intellectual development since then it has had a more profound impact on european thought rousseau left posterity a model of the reflective life the solitary uncompromising individual the enemy of servitude and habit and the selfish egoist who dedicates his life to a particular ideal the confessions recreates the world in which he progressed from incompetent engraver to grand success his enthusiasm for experience his love of nature and his uncompromising character make him an ideal guide to eighteenthcentury europe and he was the author of some of the most profound work ever written on the relation between the individual and the state,3.62,Non-Fiction
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,fiction,http://books.google.com/books/content?id=GxNnSTI4YJsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,zola wrote that my title speaks not merely of a war but also of the crumbling of a regime and the end of a world the penultimate novel of the rougonmacquart cycle la debacle 1892 takes as its subject the dramatic events of the francoprussian war and the commune of 187071 during zolas lifetime it was the bestselling of all his novels praised by contemporaries for its epic sweep as well as its attention to historical detail the novel seeks to explain why the second empire ended in a crushing military defeat and revolutionary violence it focuses on ordinary soldiers showing their bravery and suffering in the midst of circumstances they cannot control zolas descriptions are some of the most powerful he ever wrote he skilfully integrates his narrative of events and the fictional lives of his characters to provide the finest account of this tragic chapter in the history of france often compared to war and peace la debacle has been described as a seminal work for all modern depictions of war,3.99,Fiction
The Histories,Herodotus,history,http://books.google.com/books/content?id=VrV5TELCHJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,provides a new translation of the classic account of the wars between the greek citystates and persia and of the culture of the peoples who took part,3.98,Non-Fiction
The First Philosophers,Robin Waterfield,philosophy,http://books.google.com/books/content?id=fiDWoqLUW9AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a complete collection of philosophical writing of the presocratics and sophists this book shows how the first philosophers paved the way for plato and aristotle hence influencing the whole of western thought,3.93,Non-Fiction
The Antiquary,Sir Walter Scott,fiction,http://books.google.com/books/content?id=AcdCn8k3H1IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,it was early in a fine summers day near the end of the eighteenth century when a young man of genteel appearance having occasion to go towards the northeast of scotland provided himself with a ticket in one of those public carriages which travel between edinburgh and the queensferry so begins scotts personal favourite among his novels in characteristically wry and urbane style as a mysterious young man calling himself lovel travels idly but fatefully toward the scottish seaside town of fairport here he is befriended by the antiquary jonathan oldbuck who has taken refuge from his own personal disappointments in the obsessive study of miscellaneous history their slow unravelling of lovels true identity will unearth and redeem the secrets and lies which have devastated the guilthaunted earl of glenallan and will reinstate the tottering fortunes of sir arthur wardour and his daughter isabella first published in 1816 in the aftermath of waterloo the antiquary deals with the problem of how to understand the past so as to enable the future set in the tense times of the wars with revolutionary france it displays scotts matchless skill at painting the social panorama and in creating vivid characters from the earthy beggar edie ochiltree to the loqacious and shrewdly humorous antiquary himself the text is based on scotts own final authorized version the magnum opus edition of 1829,3.85,Fiction
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,fiction,http://books.google.com/books/content?id=62hVBuGPwy4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,even more popular in their day than don quixote cervantess exemplary stories 1613 surprise challenge and delight ranging from the picaresque to the satirical cervantess exemplary stories defy the conventions of heroic chivalric literature through a combination of comic irony moral ambiguity realism and sheer mirth with acute narrative skill and deft characterisation drawing on colloquial language and farce cervantes creates a tension between the everyday and the literary the plausible and the improbable while encouraging us to reach our own moral conclusions he also persuades us to accept the coincidental and the incredible two boys indulge their life of crime at a time of public prayer a young nobleman undergoes a change of identity at the behest of not a princess but a mere gipsy girl and most fantastically talking dogs philosophize in a ward full of syphilitics by placing the extraordinary within the contexts of the ordinary the exemplary stories chart new novelistic territory and demonstrate cervantes at his most imaginative and innovative this new translation captures the full vigour of cervantess wit and makes available two rarely printed tales the illustrious kitchen maid and the power of blood,3.73,Fiction
Orestes and Other Plays,Euripides;James Morwood,literary criticism,http://books.google.com/books/content?id=gX1G3qlyMK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ionorestesthe phoenician womenthe suppliant womenin these four plays euripides explores ethical and political themescontrasting the claims of patriotism with family loyalty pragmatism and expediency with justice and the idea that might is right with the ideal of clemencyion is a vivid portrait of the role of chance in human life and an exploration of family relationships which combines a sympathetic portrait of a rape victim with remarks on athenian xenophobia in orestes the most popular of the tragedians plays in the ancient world euripides explores theemotional consequences of orestes murder of his mother on the individuals concerned and makes the tale resonate with advice to athens about the threat to democracy posed by political pressure groups the suppliant women is a commentary on the politics of empire as the athenian king theseusdecides to use force of arms rather than persuasion against thebes the phoenician women transforms the terrible conflict between oedipus sons into one of the most savage indictments of civil war in western literature by highlighting the personal tragedy it brings,4.07,Non-Fiction
Jane Austen's Letters,Jane Austen,fiction,http://books.google.com/books/content?id=68O6taFYp70C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jane austens letters afford a unique insight into the daily life of the novelist intimate and gossipy observant and informativethey read much like the novels themselves they bring alive her family and friends her surroundings and contemporary events with a freshness unparalleled in modern biographies above all we recognize the unmistakable voice of the author of such novels as pride and prejudice and sense and sensibility we see the shift in her writing from witty and amusing descriptions of the social life of town and country to a thoughtful and constructive tone while writing about the business of literary composition rw chapmans groundbreaking edition of the collected letters first appeared in 1932 and a second edition followed twenty years later now in this third edition of jane austens letters deirdre le faye has added new material that has come to light since 1952 and reordered the letters into their correct chronological sequence she has provided discreet and full annotation to each letter including its provenance and information on the watermarks postmarks and other physical details of the manuscripts together with new biographical topographical and general indexes teachers students and fans of jane austen at all levels will find remarkable insight into one of the most popular novelists ever,4.15,Fiction
